timestamp,session_time,Fp1,Fp2,C3,C4,P7,P8,O1,O2,EMG,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz
1749632458.6753101,2.196,-3465.59992171525,-3471.203502932609,-3461.048416992833,-316.1419928690187,-3499.271864729746,-3461.1058665640194,-3476.0032897148476,-3466.5351008218645,2156,16364.0,14896.0,14480.0,-6696.0,9272.0,-17284.0,-3876.0,-784.0,-2092.0,-485.0,1147.0,1818.0,1087.0,3594.0,485.0,215.0,-141.0,-244.0
1749632458.725183,2.246,-3467.7385444478446,-3472.941976912853,-3457.4915391941713,-325.5607251746327,-3487.798935583107,-3470.7289195184608,-3475.4847448897062,-3480.16363779171,2145,16452.0,14880.0,14408.0,-6680.0,9488.0,-17372.0,-4024.0,-832.0,-1944.0,-439.0,1176.0,1805.0,1069.0,3598.0,467.0,211.0,-120.0,-241.0
1749632458.775114,2.296,-3468.021296250379,-3465.1013593496514,-3462.3977325734772,-322.2541276817474,-3494.5155397970125,-3463.018187942289,-3476.394446360403,-3470.1878944263335,2154,16360.0,14856.0,14468.0,-6700.0,9472.0,-17308.0,-3976.0,-792.0,-2180.0,-488.0,1189.0,1829.0,1097.0,3629.0,464.0,222.0,-139.0,-234.0
1749632458.8250802,2.346,-3467.71206768895,-3483.328859383328,-3457.416604970885,-325.15108475400024,-3487.0800666010455,-3470.332267696532,-3475.483745766728,-3479.4647512691913,2160,16420.0,14784.0,14560.0,-6676.0,9416.0,-17148.0,-4096.0,-952.0,-1992.0,-472.0,1180.0,1817.0,1072.0,3583.0,446.0,218.0,-130.0,-245.0
1749632458.875076,2.396,-3465.3461444790537,-3472.682204938794,-3460.3165594120696,-315.7713182444952,-3499.2413914789427,-3461.009950758213,-3475.764998884797,-3466.5131201163676,2148,16372.0,14880.0,14464.0,-6680.0,9468.0,-17208.0,-4116.0,-972.0,-2024.0,-445.0,1191.0,1849.0,1094.0,3557.0,475.0,213.0,-140.0,-256.0
1749632458.925075,2.446,-3467.8619361355227,-3476.871028020504,-3457.228270289692,-326.00233753053396,-3486.8887345509215,-3470.0650023001435,-3474.9936759464354,-3479.2819117643726,2148,16428.0,14908.0,14508.0,-6672.0,9396.0,-17220.0,-4000.0,-872.0,-2092.0,-486.0,1195.0,1825.0,1112.0,3614.0,454.0,209.0,-143.0,-243.0
1749632458.975061,2.496,-3464.983962399836,-3454.813390053915,-3460.0308102406034,-316.03358802599763,-3499.0190866165262,-3460.8326064297685,-3475.677575624296,-3467.054145208495,2150,16364.0,14952.0,14372.0,-6668.0,9388.0,-17256.0,-3988.0,-808.0,-2032.0,-473.0,1202.0,1838.0,1102.0,3592.0,460.0,211.0,-141.0,-245.0
1749632459.0250711,2.546,-3467.842952798957,-3483.1680005840067,-3457.2832220534347,-325.95487918911925,-3486.296754186959,-3469.98207509304,-3474.843307938374,-3479.0416226883676,2153,16364.0,14892.0,14420.0,-6752.0,9424.0,-17264.0,-4112.0,-808.0,-2148.0,-470.0,1176.0,1853.0,1112.0,3635.0,459.0,216.0,-126.0,-242.0
1749632459.075092,2.596,-3466.5081245014812,-3480.656704980934,-3461.6973473664934,-320.02258651227794,-3495.1434885881526,-3461.1648148196714,-3475.2784259949235,-3467.82446902388,2160,16444.0,14924.0,14444.0,-6632.0,9436.0,-17236.0,-4088.0,-672.0,-2072.0,-489.0,1163.0,1798.0,1046.0,3617.0,468.0,219.0,-147.0,-232.0
1749632459.125087,2.646,-3467.7450387471963,-3474.5140969174026,-3457.1263597460224,-326.5918200870538,-3486.156876970157,-3470.0200417661717,-3474.5545613979766,-3479.481236798315,2157,16348.0,14872.0,14396.0,-6792.0,9424.0,-17232.0,-4260.0,-744.0,-1956.0,-456.0,1147.0,1794.0,1049.0,3612.0,446.0,223.0,-149.0,-258.0
